scenario,index_name,metric,estimate,ci_low,ci_high
full_w5_t7,warm_days,OLS,14.301827801827793,8.816998513946027,17.55877890451687
full_w5_t7,warm_days,q10,9.897486772486772,3.914609053497943,14.236111111111116
full_w5_t7,warm_days,q50,16.095146871008936,6.997354497354495,18.858024691358022
full_w5_t7,warm_days,q90,23.02314814814815,2.5972222222222214,28.567251461988306
full_w5_t7,warm_days,Delta1,13.125661375661377,-5.869028448738595,19.890168128654988
full_w5_t7,warm_nights,OLS,11.070622188269255,7.915230944058771,12.897176205352272
full_w5_t7,warm_nights,q10,10.171296296296296,7.043209876543211,12.314814814814824
full_w5_t7,warm_nights,q50,12.50514403292181,5.498971193415641,14.000638569604085
full_w5_t7,warm_nights,q90,12.690631808278862,7.654320987654306,16.895711500974656
full_w5_t7,warm_nights,Delta1,2.5193355119825664,-2.224537037037038,6.975958414554903
