index_name,network,metric,block_length,estimate,ci_low,ci_high,family_ci_low,family_ci_high,bootstrap_reps
cool_nights,available,OLS,4,-10.863292034184974,-15.446964544653609,-4.572640377595884,-16.94808478524083,-2.442738494895915,4999
cool_nights,available,q10,4,-5.905017921146952,-13.33163956639566,-3.256884343036978,-16.213847436928486,-2.465437788018432,4999
cool_nights,available,q50,4,-9.831591173054585,-11.64314516129032,-4.12298387096774,-13.573790322580647,-1.6651785714285583,4999
cool_nights,available,q90,4,-12.064516129032251,-24.88889875891475,-4.057459677419355,-27.44736053351317,-1.032258064516128,4999
cool_nights,available,Delta1,4,-6.159498207885299,-18.85849474726239,2.8311104218362235,-22.198339913266647,6.003305286388474,4999
warm_days,common_fixed,OLS,6,13.949410067057144,7.877741348597557,17.506002469731687,4.349912657324491,19.9137752019411,4999
warm_days,common_fixed,q10,6,9.520502645502646,2.1064814814814814,14.553872053872055,-2.623456790123456,16.807048984468338,4999
warm_days,common_fixed,q50,6,15.718694885361549,6.258169934640524,19.48412698412698,0.11998456790123571,26.327160493827165,4999
warm_days,common_fixed,q90,6,22.370370370370374,2.810185185185187,27.90448343079922,-9.796296296296298,32.952674897119344,4999
warm_days,common_fixed,Delta1,6,12.849867724867728,-5.430555555555552,21.08040935672515,-15.506018518518518,28.461934156378604,4999
warm_nights,common_fixed,OLS,6,11.136561695385224,7.68229695562739,12.981433005720081,5.178042131292972,13.703782683535675,4999
warm_nights,common_fixed,q10,6,10.069444444444445,6.534391534391536,11.972934472934472,1.8209876543209877,14.241338112305852,4999
warm_nights,common_fixed,q50,6,12.340534979423868,3.9316239316239305,14.151234567901234,2.0370370370370394,18.167989417989414,4999
warm_nights,common_fixed,q90,6,12.777777777777777,6.435185185185189,16.910331384015592,1.4699074074074048,18.29124579124579,4999
warm_nights,common_fixed,Delta1,6,2.708333333333332,-2.8439153439153415,7.146990740740742,-6.223425018155412,12.428977272727279,4999
cool_days,common_fixed,OLS,6,-12.612568259627094,-18.46985210678626,-3.8343186176801347,-21.511790007574934,-1.0911033182080132,4999
cool_days,common_fixed,q10,6,-5.454545454545455,-14.898148148148149,-2.1759259259259256,-32.936507936507944,3.493827160493945,4999
cool_days,common_fixed,q50,6,-11.947751322751325,-14.212962962962965,-2.1851851851851904,-16.564814814814817,0.4415954415954431,4999
cool_days,common_fixed,q90,6,-15.69593787335723,-28.744855967078188,-1.4135802469135825,-34.10493827160493,0.4012345679012341,4999
cool_days,common_fixed,Delta1,6,-10.241392418811776,-21.78414351851852,4.110157936199608,-24.887624711450613,14.346939300411549,4999
cool_nights,common_fixed,OLS,6,-10.966018730724606,-15.737178962997207,-3.9260923357419046,-17.723483253645245,-1.3625014569039766,4999
cool_nights,common_fixed,q10,6,-5.905349794238686,-13.561253561253558,-2.7559912854030513,-17.438657407407405,0.03607253086424519,4999
cool_nights,common_fixed,q50,6,-9.599999999999998,-12.04320987654321,-2.9166666666666696,-14.16515700483092,0.6196581196581209,4999
cool_nights,common_fixed,q90,6,-12.271604938271603,-25.191358024691358,-1.701388888888884,-28.167438271604944,-1.129629629629626,4999
cool_nights,common_fixed,Delta1,6,-6.366255144032917,-19.21454124579125,4.203960905349802,-20.329945455212005,8.297453703703706,4999
warm_days,available,OLS,6,14.021952707566285,7.743998191306847,17.682710056905872,4.269661018484239,20.07099834623365,4999
warm_days,available,q10,6,9.446325540444347,1.7641129032258052,14.712347709987366,-3.2078853046594973,17.007605559926567,4999
warm_days,available,q50,6,15.549853372434017,6.088709677419355,19.261786600496276,0.798051075268817,26.370705481248365,4999
warm_days,available,q90,6,22.504655127196433,2.620967741935484,27.94632627990117,-9.451612903225808,32.47701362212863,4999
warm_days,available,Delta1,6,13.058329586752086,-5.35714285714286,20.52137693585377,-15.325268817204302,27.85471244705127,4999
warm_nights,available,OLS,6,10.958427868028847,7.4295167482533895,12.8272795992858,4.872238144166966,13.579890196869597,4999
warm_nights,available,q10,6,8.741935483870968,6.252688172043011,12.441041780144849,0.57347670250896,13.978917624764174,4999
warm_nights,available,q50,6,12.139219015280133,3.8306451612903225,13.978917624764174,2.8225806451612905,17.667050691244235,4999
warm_nights,available,q90,6,12.210626185958253,6.362940998715721,16.56532034670718,1.1189516129032295,17.634408602150543,4999
warm_nights,available,Delta1,6,3.468690702087285,-2.633064516129039,7.82338486283621,-5.892433586337756,12.456477214541732,4999
cool_days,available,OLS,6,-12.598144500341844,-18.3043793817276,-3.9233730106468525,-21.356106139530418,-1.212217723567608,4999
cool_days,available,q10,6,-5.601590253439191,-15.453629032258066,-2.53024193548387,-32.174914846724114,3.250672043010813,4999
cool_days,available,q50,6,-12.000580720092914,-14.551927616050353,-2.007640067911714,-16.61421452924207,0.012174317617871865,4999
cool_days,available,q90,6,-15.37190082644628,-28.382531495565853,-1.827764976958512,-33.641204574738595,0.44354838709677935,4999
cool_days,available,Delta1,6,-9.77031057300709,-21.272965149672828,4.3592845326716585,-24.23698531340152,14.34141356014328,4999
cool_nights,available,OLS,6,-10.863292034184974,-15.490464639058908,-3.9102825873926847,-17.351350584294625,-1.26054457247538,4999
cool_nights,available,q10,6,-5.905017921146952,-13.628979857050032,-2.7324478178368117,-18.18548387096776,-0.0988323252687469,4999
