definition,rule,threshold_mode,climate_regime,stratum,n_stations,n_zero,component,estimate_pp,ci_low_pp,ci_high_pp
annual,both_inclusive,fixed,BWk_cold_desert,all,12,0,joint_change,19.11764705882353,0.49019607843137186,37.74509803921569
annual,both_inclusive,fixed,BWk_cold_desert,all,12,0,dry_marginal,8.564013840830448,1.1231257208765857,16.364619377162633
annual,both_inclusive,fixed,BWk_cold_desert,all,12,0,hot_marginal,9.86159169550173,-1.5145617070357558,20.156430219146483
annual,both_inclusive,fixed,BWk_cold_desert,all,12,0,excess_joint,0.6920415224913494,-5.6516724336793525,8.073817762399077
annual,both_inclusive,fixed,BWk_cold_desert,positive,12,0,joint_change,19.11764705882353,0.49019607843137186,37.74509803921569
annual,both_inclusive,fixed,BWk_cold_desert,positive,12,0,dry_marginal,8.564013840830448,1.1231257208765857,16.364619377162633
annual,both_inclusive,fixed,BWk_cold_desert,positive,12,0,hot_marginal,9.86159169550173,-1.5145617070357558,20.156430219146483
annual,both_inclusive,fixed,BWk_cold_desert,positive,12,0,excess_joint,0.6920415224913494,-5.6516724336793525,8.073817762399077
annual,both_inclusive,fixed,BSh_hot_steppe,all,7,0,joint_change,30.252100840336137,14.285714285714286,43.69747899159664
annual,both_inclusive,fixed,BSh_hot_steppe,all,7,0,dry_marginal,14.359861591695502,5.734058329214038,22.14532871972318
annual,both_inclusive,fixed,BSh_hot_steppe,all,7,0,hot_marginal,17.820069204152244,4.571181413741967,27.73109243697479
annual,both_inclusive,fixed,BSh_hot_steppe,all,7,0,excess_joint,-1.9278299555116158,-6.524962926347004,3.9569945625309053
annual,both_inclusive,fixed,BSh_hot_steppe,positive,7,0,joint_change,30.252100840336137,14.285714285714286,43.69747899159664
annual,both_inclusive,fixed,BSh_hot_steppe,positive,7,0,dry_marginal,14.359861591695502,5.734058329214038,22.14532871972318
annual,both_inclusive,fixed,BSh_hot_steppe,positive,7,0,hot_marginal,17.820069204152244,4.571181413741967,27.73109243697479
annual,both_inclusive,fixed,BSh_hot_steppe,positive,7,0,excess_joint,-1.9278299555116158,-6.524962926347004,3.9569945625309053
annual,both_inclusive,fixed,BSk_cold_steppe,all,33,0,joint_change,14.260249554367203,-5.169340463458108,32.0855614973262
annual,both_inclusive,fixed,BSk_cold_steppe,all,33,0,dry_marginal,5.60448778441858,-2.86305966236762,12.753224284366162
annual,both_inclusive,fixed,BSk_cold_steppe,all,33,0,hot_marginal,9.90353360595575,0.04036908881199493,18.42324630386914
annual,both_inclusive,fixed,BSk_cold_steppe,all,33,0,excess_joint,-1.2477718360071295,-6.784628289818602,5.295690468700854
annual,both_inclusive,fixed,BSk_cold_steppe,positive,33,0,joint_change,14.260249554367203,-5.169340463458108,32.0855614973262
annual,both_inclusive,fixed,BSk_cold_steppe,positive,33,0,dry_marginal,5.60448778441858,-2.86305966236762,12.753224284366162
annual,both_inclusive,fixed,BSk_cold_steppe,positive,33,0,hot_marginal,9.90353360595575,0.04036908881199493,18.42324630386914
annual,both_inclusive,fixed,BSk_cold_steppe,positive,33,0,excess_joint,-1.2477718360071295,-6.784628289818602,5.295690468700854
annual,both_inclusive,fixed,C_temperate,all,15,0,joint_change,11.76470588235294,-7.450980392156863,28.647058823529488
annual,both_inclusive,fixed,C_temperate,all,15,0,dry_marginal,2.92964244521338,-5.156286043829296,9.735294117647062
annual,both_inclusive,fixed,C_temperate,all,15,0,hot_marginal,11.926182237600921,1.5795847750865064,20.818915801614764
annual,both_inclusive,fixed,C_temperate,all,15,0,excess_joint,-3.091118800461361,-8.742791234140718,3.576701268742796
annual,both_inclusive,fixed,C_temperate,positive,15,0,joint_change,11.76470588235294,-7.450980392156863,28.647058823529488
annual,both_inclusive,fixed,C_temperate,positive,15,0,dry_marginal,2.92964244521338,-5.156286043829296,9.735294117647062
annual,both_inclusive,fixed,C_temperate,positive,15,0,hot_marginal,11.926182237600921,1.5795847750865064,20.818915801614764
annual,both_inclusive,fixed,C_temperate,positive,15,0,excess_joint,-3.091118800461361,-8.742791234140718,3.576701268742796
