scenario,index_name,year,count,rate_pct
fixed_w5_t7_corrected,warm_days,2011,47.166666666666664,12.962768384659308
fixed_w5_t7_corrected,warm_days,2012,40.24074074074074,11.077349760049227
fixed_w5_t7_corrected,warm_days,2013,63.56481481481482,17.422300231603053
fixed_w5_t7_corrected,warm_days,2014,57.25,15.837732067484076
fixed_w5_t7_corrected,warm_days,2015,82.62037037037037,22.762537048251623
fixed_w5_t7_corrected,warm_days,2016,80.0925925925926,22.058628056850416
fixed_w5_t7_corrected,warm_days,2017,79.6574074074074,21.93133865608308
fixed_w5_t7_corrected,warm_days,2018,83.62962962962963,23.035031476751957
fixed_w5_t7_corrected,warm_days,2019,65.51851851851852,18.058912186717073
fixed_w5_t7_corrected,warm_days,2020,61.93518518518518,17.008892665511482
fixed_w5_t7_corrected,warm_days,2021,119.26851851851852,32.78548575323967
fixed_w5_t7_corrected,warm_days,2022,94.67592592592592,25.986603417975985
fixed_w5_t7_corrected,warm_days,2023,93.13888888888889,25.599078091579436
fixed_w5_t7_corrected,warm_days,2024,95.44444444444444,26.267840920486915
fixed_w5_t7_corrected,warm_nights,1991,25.870949074074073,7.345170746715443
fixed_w5_t7_corrected,warm_nights,1992,14.639467592592593,4.172975382053772
fixed_w5_t7_corrected,warm_nights,1993,20.36111111111111,5.747769552332204
fixed_w5_t7_corrected,warm_nights,1994,34.611111111111114,9.712825142257815
fixed_w5_t7_corrected,warm_nights,1995,28.197337962962962,7.8898540367029275
fixed_w5_t7_corrected,warm_nights,1996,37.40277777777778,10.607241581064908
fixed_w5_t7_corrected,warm_nights,1997,31.03877314814815,8.693643080178779
fixed_w5_t7_corrected,warm_nights,1998,55.24363425925926,15.607887942915207
fixed_w5_t7_corrected,warm_nights,1999,46.16840277777778,12.969511936496406
fixed_w5_t7_corrected,warm_nights,2000,45.152199074074076,12.655800081413645
fixed_w5_t7_corrected,warm_nights,2001,51.748263888888886,14.37177439413088
fixed_w5_t7_corrected,warm_nights,2002,48.70601851851852,13.516348554196746
fixed_w5_t7_corrected,warm_nights,2003,45.576388888888886,12.693801815629618
fixed_w5_t7_corrected,warm_nights,2004,46.947916666666664,13.051491828449407
fixed_w5_t7_corrected,warm_nights,2005,42.22858796296296,11.667077329683536
fixed_w5_t7_corrected,warm_nights,2006,60.54456018518518,16.666740171252545
fixed_w5_t7_corrected,warm_nights,2007,42.85243055555556,11.766575622888459
fixed_w5_t7_corrected,warm_nights,2008,54.19444444444444,14.876423742806391
fixed_w5_t7_corrected,warm_nights,2009,48.916666666666664,13.424872844005366
fixed_w5_t7_corrected,warm_nights,2010,74.78703703703704,20.529249878857335
fixed_w5_t7_corrected,warm_nights,2011,52.22222222222222,14.3417141759762
fixed_w5_t7_corrected,warm_nights,2012,48.148148148148145,13.254279057975635
fixed_w5_t7_corrected,warm_nights,2013,53.888888888888886,14.768253689486565
fixed_w5_t7_corrected,warm_nights,2014,56.861111111111114,15.710363649714568
fixed_w5_t7_corrected,warm_nights,2015,75.89814814814815,20.915449482351576
fixed_w5_t7_corrected,warm_nights,2016,68.42592592592592,18.82624704558252
fixed_w5_t7_corrected,warm_nights,2017,63.77777777777778,17.5542718340284
fixed_w5_t7_corrected,warm_nights,2018,82.79629629629629,22.80229311234138
fixed_w5_t7_corrected,warm_nights,2019,63.27777777777778,17.44189653009506
fixed_w5_t7_corrected,warm_nights,2020,58.111111111111114,15.96116405744871
fixed_w5_t7_corrected,warm_nights,2021,81.13888888888889,22.290828371015063
fixed_w5_t7_corrected,warm_nights,2022,77.72222222222223,21.31649705588936
fixed_w5_t7_corrected,warm_nights,2023,81.75925925925925,22.417872743076693
fixed_w5_t7_corrected,warm_nights,2024,85.17592592592592,23.35280835111176
fixed_w5_t8_corrected,cool_days,1991,49.704861111111114,13.657090818115842
fixed_w5_t8_corrected,cool_days,1992,99.71354166666667,27.555214488804538
fixed_w5_t8_corrected,cool_days,1993,65.24768518518519,18.07788741067751
fixed_w5_t8_corrected,cool_days,1994,45.11574074074074,12.47908646347109
fixed_w5_t8_corrected,cool_days,1995,39.5775462962963,10.93761177105714
fixed_w5_t8_corrected,cool_days,1996,43.798611111111114,12.072300781528556
fixed_w5_t8_corrected,cool_days,1997,46.09664351851852,12.789053542062096
fixed_w5_t8_corrected,cool_days,1998,27.994791666666668,7.766849561543898
fixed_w5_t8_corrected,cool_days,1999,22.564814814814813,6.248111358579985
fixed_w5_t8_corrected,cool_days,2000,29.30439814814815,8.13397297097101
fixed_w5_t8_corrected,cool_days,2001,19.868055555555557,5.471752041985702
fixed_w5_t8_corrected,cool_days,2002,26.27372685185185,7.2574377986708205
fixed_w5_t8_corrected,cool_days,2003,28.056712962962962,7.755064669538369
fixed_w5_t8_corrected,cool_days,2004,27.64236111111111,7.644095325017391
fixed_w5_t8_corrected,cool_days,2005,30.24074074074074,8.321873678814935
fixed_w5_t8_corrected,cool_days,2006,31.25347222222222,8.583787232811112
fixed_w5_t8_corrected,cool_days,2007,28.460069444444443,7.816833276535085
fixed_w5_t8_corrected,cool_days,2008,42.148148148148145,11.560993535039083
fixed_w5_t8_corrected,cool_days,2009,28.925925925925927,7.939572807975885
fixed_w5_t8_corrected,cool_days,2010,13.675925925925926,3.75116482417294
fixed_w5_t8_corrected,cool_days,2011,31.14814814814815,8.561430940175102
fixed_w5_t8_corrected,cool_days,2012,27.38888888888889,7.539293290975623
fixed_w5_t8_corrected,cool_days,2013,29.944444444444443,8.207294615913654
fixed_w5_t8_corrected,cool_days,2014,29.27777777777778,8.085094035247174
fixed_w5_t8_corrected,cool_days,2015,24.805555555555557,6.825481752425647
fixed_w5_t8_corrected,cool_days,2016,23.333333333333332,6.425446523728287
fixed_w5_t8_corrected,cool_days,2017,16.76851851851852,4.61055922878042
fixed_w5_t8_corrected,cool_days,2018,19.15740740740741,5.27434100242042
fixed_w5_t8_corrected,cool_days,2019,25.61111111111111,7.056644398229024
fixed_w5_t8_corrected,cool_days,2020,27.203703703703702,7.473140171936386
fixed_w5_t8_corrected,cool_days,2021,13.212962962962964,3.635535192862176
fixed_w5_t8_corrected,cool_days,2022,15.287037037037036,4.194363448272802
fixed_w5_t8_corrected,cool_days,2023,12.62037037037037,3.4694655299808175
fixed_w5_t8_corrected,cool_days,2024,19.185185185185187,5.277185403566994
fixed_w5_t8_corrected,cool_nights,1991,45.75983796296296,12.915285740737081
fixed_w5_t8_corrected,cool_nights,1992,90.25057870370371,25.77496619904944
fixed_w5_t8_corrected,cool_nights,1993,54.854166666666664,15.554505415532844
fixed_w5_t8_corrected,cool_nights,1994,42.635416666666664,11.976259480628842
fixed_w5_t8_corrected,cool_nights,1995,42.15972222222222,11.791409378543987
fixed_w5_t8_corrected,cool_nights,1996,40.582754629629626,11.42504650448116
fixed_w5_t8_corrected,cool_nights,1997,39.68055555555556,11.165033690089993
