index_name,station_id,station_name,baseline_period,comparison_period,baseline_mean_days,comparison_mean_days,late_minus_baseline_days,expected_direction,direction_consistent
warm_nights,40744,Golmakan,1991-2007,2008-2024,35.266666666666666,61.8235294117647,26.556862745098037,increase,True
warm_nights,40745,Mashhad,1991-2007,2008-2024,33.705882352941174,71.11764705882354,37.41176470588236,increase,True
warm_nights,40746,Neyshabur,1991-2007,2008-2024,34.411764705882355,47.76470588235294,13.352941176470587,increase,True
warm_nights,40747,Sanandaj,1991-2007,2008-2024,32.8235294117647,52.05882352941177,19.235294117647065,increase,True
warm_nights,40748,Bijar,1991-2007,2008-2024,32.529411764705884,69.05882352941177,36.529411764705884,increase,True
warm_nights,40749,Zarrineh,1991-2007,2008-2024,33.470588235294116,57.11764705882353,23.647058823529413,increase,True
warm_nights,40751,Tehran (Shemiran),1991-2007,2008-2024,31.823529411764707,50.23529411764706,18.41176470588235,increase,True
warm_nights,40752,Karaj,1991-2007,2008-2024,34.1764705882353,56.35294117647059,22.17647058823529,increase,True
warm_nights,40754,Tehran (Mehrabad Airport),1991-2007,2008-2024,32.529411764705884,37.588235294117645,5.058823529411761,increase,True
warm_nights,40755,Abali,1991-2007,2008-2024,31.764705882352942,46.294117647058826,14.529411764705884,increase,True
warm_nights,40757,Semnan,1991-2007,2008-2024,31.764705882352942,48.1764705882353,16.411764705882355,increase,True
warm_nights,40758,Garmsar,1991-2007,2008-2024,32.88235294117647,117.52941176470588,84.64705882352942,increase,True
warm_nights,40762,Torbat-E Heydariyeh,1991-2007,2008-2024,34.0,57.35294117647059,23.352941176470587,increase,True
warm_nights,40763,Kashmar,1991-2007,2008-2024,34.64705882352941,55.88235294117647,21.235294117647058,increase,True
warm_nights,40764,Ravansar,1991-2007,2008-2024,32.94117647058823,54.35294117647059,21.411764705882355,increase,True
warm_nights,40765,Sarpol-E-Zahab,1991-2007,2008-2024,33.35294117647059,66.52941176470588,33.1764705882353,increase,True
warm_nights,40766,Kermanshah,1991-2007,2008-2024,33.588235294117645,56.23529411764706,22.647058823529413,increase,True
warm_nights,40768,Hamedan (Airport),1991-2007,2008-2024,32.294117647058826,49.529411764705884,17.235294117647058,increase,True
warm_nights,40769,Arak,1991-2007,2008-2024,31.88235294117647,52.94117647058823,21.05882352941176,increase,True
warm_nights,40770,Qom,1991-2007,2008-2024,32.35294117647059,64.88235294117646,32.52941176470588,increase,True
warm_nights,40771,Kangavar,1991-2007,2008-2024,33.35294117647059,52.0,18.647058823529413,increase,True
warm_nights,40772,Qorveh,1991-2007,2008-2024,33.588235294117645,77.23529411764706,43.64705882352941,increase,True
warm_nights,40774,Borujerd,1991-2007,2008-2024,33.05882352941177,81.3529411764706,48.294117647058826,increase,True
warm_nights,40778,Gonabad,1991-2007,2008-2024,34.11764705882353,61.23529411764706,27.11764705882353,increase,True
warm_nights,40779,Eslamabad-E-Gharb,1991-2007,2008-2024,33.35294117647059,58.64705882352941,25.294117647058826,increase,True
warm_nights,40780,Ilam,1991-2007,2008-2024,33.588235294117645,24.823529411764707,-8.764705882352938,increase,False
warm_nights,40782,Khorramabad,1991-2007,2008-2024,33.588235294117645,57.11764705882353,23.529411764705884,increase,True
warm_nights,40783,Aligudarz,1991-2007,2008-2024,33.529411764705884,62.35294117647059,28.823529411764703,increase,True
warm_nights,40785,Kashan,1991-2007,2008-2024,31.352941176470587,68.0,36.64705882352941,increase,True
warm_nights,40787,Daran,1991-2007,2008-2024,32.125,53.23529411764706,21.110294117647058,increase,True
warm_nights,40789,Khur-Va-Biabanak,1991-2007,2008-2024,33.88235294117647,76.17647058823529,42.29411764705882,increase,True
warm_nights,40790,Robat-E-Poshtebadam,1991-2007,2008-2024,34.875,46.94117647058823,12.066176470588232,increase,True
warm_nights,40791,Tabas,1991-2007,2008-2024,32.705882352941174,67.41176470588235,34.705882352941174,increase,True
warm_nights,40792,Ferdows,1991-2007,2008-2024,33.705882352941174,79.6470588235294,45.94117647058823,increase,True
warm_nights,40793,Qaen,1991-2007,2008-2024,34.470588235294116,65.41176470588235,30.941176470588232,increase,True
warm_nights,40794,Safiabad (Dezful),1991-2007,2008-2024,34.529411764705884,64.17647058823529,29.647058823529406,increase,True
