index_name,station_id,station_name,cluster_baseline,cluster_hierarchical_complete_euclidean,cluster_hierarchical_ward_euclidean,cluster_hierarchical_average_cityblock,cluster_kmeans
cool_nights,40745,Mashhad,2,1,4,2,1
cool_nights,40746,Neyshabur,2,3,2,2,2
cool_nights,40747,Sanandaj,2,1,4,2,4
cool_nights,40748,Bijar,2,3,2,2,2
cool_nights,40749,Zarrineh,2,3,2,2,2
cool_nights,40751,Tehran (Shemiran),2,3,2,2,2
cool_nights,40752,Karaj,2,3,2,2,1
cool_nights,40754,Tehran (Mehrabad Airport),2,3,2,2,2
cool_nights,40755,Abali,2,3,2,2,2
cool_nights,40757,Semnan,2,3,2,2,2
cool_nights,40758,Garmsar,4,1,4,4,4
cool_nights,40762,Torbat-E Heydariyeh,2,3,2,2,2
cool_nights,40763,Kashmar,2,3,2,2,2
cool_nights,40764,Ravansar,2,1,3,2,1
cool_nights,40765,Sarpol-E-Zahab,2,1,4,2,4
cool_nights,40766,Kermanshah,2,1,4,2,1
cool_nights,40768,Hamedan (Airport),2,3,2,2,2
cool_nights,40769,Arak,2,3,2,2,2
cool_nights,40770,Qom,2,1,3,2,1
cool_nights,40771,Kangavar,2,1,4,2,4
cool_nights,40772,Qorveh,2,1,4,2,4
cool_nights,40774,Borujerd,2,1,4,2,4
cool_nights,40778,Gonabad,2,3,2,2,2
cool_nights,40779,Eslamabad-E-Gharb,2,1,4,2,4
cool_nights,40780,Ilam,1,4,1,1,3
cool_nights,40782,Khorramabad,2,1,3,2,1
cool_nights,40783,Aligudarz,2,1,3,2,1
cool_nights,40785,Kashan,2,1,3,2,1
cool_nights,40787,Daran,2,3,2,2,2
